,0,0.1,0.1.1
7899,转向文论和社会与历史的关系问题的追寻和探讨,转向文论和社会与历史的关系问题的追寻和探讨,0
3857,人身自由和安全的保障是行使其他权利的前提,人身自由和安全的保障是行其她她权利前提,1
9843,3135某些样品用5971的质量选择监测器进行分析,3335某些样品用5971的质量选择监测器进行分析,0
10495,但他后来对把物理学的有关知识应用于石油地球物理勘探产生了兴趣,但她后来把把物理学的有知识应用于北石油地地物理勘麦生产了兴趣,1
7759,他解释说动就是动的精神,她解释说动就是动的精神,1
6544,向社会其他企业提供相关产品的存储运输加工配送等单项服务,向社会其她企业提供相关产品的储运运输加工送等等单项服务,1
3424,5°和8°,5°和8°,0
12736,由于界面两侧材料的弹性性质不同,由于界面两侧材料的弹性性不同,0
8571,观者可以任意在她身上涂抹捉弄,观者可以任意在他身上涂抹捉弄,1
4767,一个主权国家的内部事务他国无权干预这一对外主权所固有的观念,一个主权国家的内部事务她国无权干预这一对外主权所固有的观念,1
12233,使我们的视线没能从系统的整体性去考虑运动训练系统的其它层次,使我们的视线没能从系统整体性能考虑考运动训练系统的其它层次,0
12938,如一种怜男女,如一种女女女,1
11658,而这一模式也是不应效法的,而这一模式也是不效法的,0
4455,6重点引者加费孝通先生的话抓住了问题的要害从长远看,6点点引加者费孝通女士的抓住了了问题的要从长长远看,1
5743,可以作为我们研究的一个起点,可以作为我们研究的一个起点,0
10149,全民公决又在人民广泛觉醒的新历史条件下重振雄风,全民公决又在人民广泛觉醒的新历史条件下重雌雌风,1
1142,就必须让社会充满自主团体,就必须让社会充满自主团体,0
9917,他反对资产阶级革命运动,她反对资产阶级革命运动,1
6792,并监督任务的执行,并监督任务的执行,0
7625,产生越来越多的担忧,产生越来越多的担忧,0
4941,8设立女童教育国家奖励基金,8设立男童教育国家奖励基金,1
5586,想必崇尚中华传统文化的革命家孙中山先生,想必崇尚中华传统文化的革命家孙中山女士,1
51,说他形容得好,说她形容得好,1
1067,作者简介黄文学1957,作者简介黄文学1957,0
11009,四研究方法的科学化传统的政治经济学一般都重定性重逻辑思维和推理,四研究方法的科学传统传统的政治经济一般都重定性重逻辑思维和推理,0
9489,这是她一生当中唯一的政治选择,这是他一生当中唯一的政治选择,1
7375,苏联不再是可靠的老大哥,苏联不再是可靠的老大姐,1
9242,我是你亲爱的梅娘,我是你亲爱的梅爹,1
4512,并通过基础性的技术装备工业的升级换代,并通过基础性的技术装备工业的升级换代,0
5144,中国青年男子篮球队在平壤同朝鲜国家队举行了３场比赛,中国青年女子篮球队在平等同朝鲜国家队举行了了３场比,1
10469,对温室气体的所有排放源征收碳税是合理的,对温气气体的所有排放征征收碳税是合理的,0
8012,莎士比亚之所以超过他们,莎士比亚之所以超过她们,1
1528,没有人不找到这位好好先生的,没有人不找到这位好好女士的,1
3960,便是父亲愿望的实现,便是母亲愿望的实现,1
8053,在他的观念中,在她的观念中,1
10330,小裴因私自从家庭出走后生活无着,小裴因私自从家庭出走后生活着着,0
4003,一是队伍太小,一是队伍太小,0
10924,是理论和实践中正在不断探索的重要课题,是理论和实践中正在不断探索的重要课题,0
12946,农产品价格特别是粮食价格表面上看变化较快,农产品价格特别是粮食价格表面上看变化较快,0
14442,有必要发动过去不参加田间劳动的广大的妇女群众到劳动战线上去,有必要发动过去不参加田间劳动的广大的妇男群众到劳动战线上去,1
4390,他在巡视纪实中提到,她在巡视纪实中提到,1
4527,受到国际社会和阿拉伯国家的普遍欢迎和赞赏,受到国际社会和阿拉姑国家的普遍欢迎和赞赏,1
2874,他们通常都从事瑞士人不愿干的最脏最累的低工资的工作,她们通常都从事瑞士生不愿干的最最最累的低资工的工作,1
7144,他们中的许多人返乡后,她们中的许多人返乡后,1
8828,曾综述过陈先生在中国六大古都序言中的观点,曾综述过陈女士在中国六大古都序言中的观点,1
11317,但张大鹏却是认真的,但张大鹏却是认真的,0
6557,分别表示域块左上角的横坐标和纵坐标,分别表示杂块左角上的横坐标和纵坐标,0
4011,就会看到韦伯观察的理论意义,就会看到韦姑观察的理论意义,1
11384,你们可是也混入了他们,你们可是也混入了她们,1
6250,以实现农业银行改革目标把农业银行建设成为经营稳健管理严谨实力雄厚和效益良好的现代化国有商业银行,以实现农业银行改革目标把农业银行建设为成立经济稳理严谨严雌实力雌厚效益良好的良实化代国有商业银,1
5487,他来自别尔加莫农村,她来自别尔加莫农村,1
7423,就知道今天是李瑞英播音但中国大部分人都从来没有见过她的全身象,就知道今天是李瑞英播音描中国大部分人都从来没有见见过他的身身,1
8335,恢复和发展经济就是关系人民群众根本利益和国家安全的重大政治问题,恢复和发展经济就是关系人民群众根本利益和国家安全的重大政治问题,0
11358,只不过这种改革要求和内容为当时占统治地位的性理学顽固的排他性和保守性所掩盖,只不过这种改革要求和内容为当时占统位地事的理性学习的固排她性和保守性所掩盖,1
6346,不择手段而在处理与他人的关系时,不择手段而在处理与她人的关系,1
8344,这是由于抚顺煤矿为满铁所经营,这是由于抚煤煤矿为满铁所经营,0
2560,对西方发展理论的最大挑战就是的崛起,对西方发展理论的最大挑战就是的崛起,0
10919,他们是靠科技人才发家的,她们是靠科技人才发家的,1
10027,就是在他普遍关心的个人自由中,就是在她普遍关心的个人自由中,1
12321,外部人员不能入股,外部人员不能入股,0
10340,大力支持叶利钦,大力支持叶利,0
2747,他们一经形成合力,她们一经形成力力,1
10045,他于1984年和1985年发表的两篇论文,她于1984年和1985年发表的两篇论文,1
4580,就得从许多知识技能中,就得从许多知识技能中,0
2352,在现实生活中,在现实生活中,0
2735,是对量优势损失的一种隐性补偿,是对优势势损失的一种隐性补偿,0
9637,经过八年抗战,经过八年抗战,0
3950,男女主人公长段唱腔,女女主人公长段腔腔,1
640,但他却没有同时谈到列宁在同一篇文章中对文学艺术必须保证有个人创造性和个人爱好的广阔天地,但她却没有同时谈到列宁在第一篇文章中对文学艺术必须保证个个人创造性和个人爱好的广阔天地,1
2209,拒绝自卫队小排长夏大宝的行为也被姚文元诠释为玩弄男性,拒绝自卫队小排长夏大宝行行为也被姚文元曲释为玩弄女性,1
774,他明确指出,她明确指出,1
12289,这会使他们的自信心遭到毁灭性打击的,这会使她们的自信心遭到毁灭性打击的,1
11344,生活和环境都不容许他们冷静地思考,生活和环境都不容许她们冷静地思考,1
5090,使手把着手教在文化传授过程中占有了特殊的价值地位,使手把着手手在文化传授过程中占有了特殊的价值地位,0
1000,提高他们的积极性,提高她们的积极性,1
920,而他所接触的实际生活却是很可怜的,而她所接触的实际生活却是很可怜的,1
3437,他仍然从黑格尔主义的立场出发,她仍然从黑格尔主义的立场出发,1
12640,并写有动人的题词,并写有动人的词词,0
5378,任何行政的方法与手段都难以有效控制农村人口的增长,任何行政的方法与手段都难以有效控制农村人口的增长,0
10548,我们读红楼梦,我们红楼梦梦,0
810,3强调在党的领导下和保持政治稳定的前提下,3强调在党的领导下和保持政治稳定的前提下,0
9284,但随着社会的进一步发展,但随着社会的进一步发展,0
14031,加大项目投入强度,加大项目投入强度,0
300,因为他此时已在天廷受封为弼马温,因为她此时已在天廷受封为吉马温,1
8884,我国少数民族聚居地区经济凋敝,我国少数民族聚居地区经济眼,0
12704,他写道崔金陵进士,她写道金金陵进士,1
14025,他主张从消费资料中进行一些扣除,她主张从消费资料中进行一些扣除,1
13992,同上这分明是借他人之酒杯以浇胸中之块垒,同上这分明是借她人之之酒以浇胸中之块垒,1
11904,3资源开发与可持续发展的关系,3资源开发与可持续发展的关系,0
2176,据世界银行统计资料,据世界银行计资料,0
13253,他曾借传统技巧使组织部新来的年轻人等获得成功,她曾借传统技巧使组织部新来的年轻人等获得成功,1
11908,在其他一些乡土小说中,在其她一些乡土小说中,1
2737,母子健康的标志,父子健康的标志,1
11268,说他决不再跨进剧院大门,说她决不再进和剧院大门,1
14381,因此要加强老的军机维修业的建设,因此要加强老的军机维修的建设,0
8791,注重自身修养的君主一般都是以学习来提高自己,注重自身修养的主身一般都是以学习来提高自己,0
7540,中国女排取得了第2名的优异成绩,中国男排取得了第2名的优异成绩,1
14306,当某家大厂接到客户订货单以后,当某家大厂接到客户订货单以后,0
8232,1998年澳门与台湾之间贸易总额达179亿澳门元,1998年澳门与台湾之间贸易总额达179亿澳门元,0
6117,经济上的寻租往往采取院外游说活动,经济上的寻租往往采取外外游说活动,0
4019,这就是我认为在其他行业和领域中需要集中力量加强重点的部分第三类情况是,这就是我认为在其她行业和领域中需要集中力量加强重点的部分三类第情况是,1
7109,北京地区目前养蜂约6万群,北京地区目前养后约6万群,0
8611,既强调办学要从小学抓起,既强调办学要从小学抓起,0
2402,硅酸盐矿物进行水解是母岩释出单硅酸的主要途径7,硅酸盐矿物进行水解是父岩释出单硅酸的主要途径,1
10014,他的乐曲竟在这个不和谐音上嘎然而止,她的乐曲竟在这个不和谐音上嘎然而止,1
3922,还展示过其他流浪汉的生存方式,还展示过其她流汉汉的生存方式,1
3874,他们即使因长时间的游戏而非常疲乏,她们即使因长时间的游戏而非常疲乏,1
3522,4大力发展农村二三产业,4大力发展农村二三产业,0
13241,而且赋予她以无比理想然而又是很自然的性格,而且赋予他以无比理想而然又是很自然的性格,1
14476,人都可以主动地将记住的定式作相应的变换,人都可以主动地将记住的定式作相应的变换,0
11401,最可能的原因就是他们的成长环境不一样,最可能的原因就是她们的成长环境不一样,1
14112,使得采用机作为冗余系统主机的方案得以实现,使得采用机作为冗余系统主机的方案得以实现,0
7256,他们大都工书善画,她们大都工书善画,1
11803,宣传思想战线的广大党员干部坚决拥护,宣传思想战线的广大党员干部坚决护护,0
4459,若已知叶片的振型,若已知叶片的振型,0
290,允许决策者参与决策评价过程,允许决策者参与决策评价过程,0
2071,都是为了实现好发展好和维护好人民的利益,都是为了实现好发展好和维护好人民利益,0
4697,他毫不含糊地提出党的工作重心必须由乡村转移到城市,她毫不含地地提出党的工作重心必须由乡村转移到城市,1
13016,鼓励支持其健康发展,鼓励支持其健康发展,0
7715,他的目前最为流行的教科书产业组织学,她的目前最为流行的教科书产业组织学,1
5728,第306307页他高度评价党的十一届三中全会恢复和发扬了党的民主传统,第303070％她高度评价党的十一届三中全会恢复和发扬了党的民主传统,1
6997,但想要巩固和发展旅游市场,但想要巩固和发展旅游市场,0
10381,1998年第6名,1998年第名名,0
8074,伊斯兰原教旨主义运动已成为影响当代中东政治的一支强大的力量,伊斯兰原教旨主义运动成为成影影响中代东政治的一支大大的力量,0
2242,正是这些利用设施为农户生活创造了良好的外部环境,正是这些利用设施为农户生活创造了良好的外部环境,0
10408,墙头经济和母厂,墙头经济和父厂,1
10518,分别得到9个候选子区域的灰度矢量和纹理度量矩阵,分别得到9个选候子区域的灰度度量和纹理度量矩,0
2633,这是他们创造优异成绩,这是她们创造优异成绩,1
13076,卖身救父的孝心感动天地,卖身救母的孝心感动天地,1
7240,包括他对阴宅风水的重视,包括她对阴宅水的重视,1
5587,尽管他眼睛还很好,尽管她眼睛还很好,1
2787,以人类自身为作用对象,以人类自身为作用对象,0
12714,进行学科的重建和设计,进行学科的重建设计,0
2103,他在阐述要注意沿海经济发展与内地济发展两个大局的时候,她在阐述注要意沿海经济发展与内地济发展两个大局的时候,1
1764,对于适度规模经营,对于适度规经营,0
3083,他对意象作为无意识深层的形成和存在,她对意象作为无意识深层的形成和存在,1
8692,又适应他们的个体差异,又适应她们的个差异,1
9729,论他们的阶级出身和社会地位,论她们的阶级出身和社会地位,1
11076,它崇尚的是人的创新能力专业技术能力,它崇尚的是人的创新能力专业技能力,0
14415,这就有可能造成他们认识的深刻程度的不同,这就有可能造成她们认识的深刻程度的不同,1
5564,妖人的悲惨结局和怪异性格对他的人生道路起着导引作用,妖人的悲惨局式和异异性格对她的人士路路起着导引作用,1
11898,本文将之译为支配权力和合作权力,本文将之译为支配权力和合作权力,0
4188,俄罗斯倒爷批发轻工产品就将北京雅宝路堵塞,俄罗斯倒宜批发轻工产品就将北京雅宝路堵塞,1
10965,金融是现代经济的中枢神经,金融是现代经济的中枢神经,0
4888,是自来水中多种卤代烃的主要母体物质,是自来水中多种卤代烃的主要父体物质,1
12776,处理机匣改善失速裕度不是通过减少气流攻角和增加上游区域的总压实现的,处理机改善失失速速度不是通过减少气流攻角和增加加游区域的压实现的,0
872,他主张民主不应该仅仅是孟德斯鸠和洛克式的政治民主,她主张民主不应该仅仅是孟德斯鸠和洛克式的政治民主,1
11379,但矮人坪男人在守护暖玉这种耻辱的秘密中恰恰又体现了对人性的尊重和爱护,但矮人坪女人在护护暖暖这种耻辱的秘秘中恰恰体又了对人性的尊重和爱护,1
9966,因此不存在真正意义上的农业经营,因此不存在真正意义上的农业经营,0
2691,故此认为合成类固醇对中枢神经系统的影响使他们能在较长时间内坚持高强度力量训练,故此认为合成类醇对对中神经济系统的影响使她们能在较长时间内坚持高强度度量训练,1
3765,他在这本书里,她在这书里里,1
7860,第三层是指这种特殊实体不同于其他存在者,第三层是指这种特殊实体不同于其她存在者,1
1107,这些论述虽然还没有提出知识经济的基本概念,这些论述虽然还没有提出知识经济的基本概念,0
4531,农业劳动者的收入水平较之工业和其他行业劳动者而言,农业劳动者的收入水平较之工业和其她行业劳动者而言,1
14874,发挥出个人的最好水平,发挥出个人的最好水平,0
8128,要求他们在经济上退赔,要求她们在经济上赔,1
14115,墨西哥仅因停止发行本国货币一项,墨西姐仅因停止发行本国货币一项,1
5258,他坚定地认为,她坚定地认为,1
13099,与会代表各抒己见,与会代表各抒见见,0
13309,就必须通过大力发展市场经济,就必须通过大力发展市场经济,0
8004,塑造了一个勤奋好学爱探险有个性的新一代少年英雄的形象,塑造了一个勤奋好学语探还有个性的新一代少年英雌的形象,1
6596,如何得到它们的后验被访问概率,如何得到它们的后验被问问概率,0
4473,而是提倡社会主义人道主义,而是提倡社会主义人道主义,0
12397,比如埃及人叙利亚人伊拉克人也门人沙特阿拉伯人等等,比如埃及人叙利亚人伊拉克人也门人沙特阿拉姑人等,1
5895,他认为论商务之源,她认为论商之源,1
10769,女300人正副教授255人,男300人正副教授255人,1
11759,从五连冠滑落到世界女排八强之尾,从五连连落落到世界男排八强之尾,1
6817,揭露封建地主的横行与残忍,揭露封建地主的横行与忍,0
1311,充分发挥二者的优点和长处,充分发挥二者的优点和长处,0
3072,19836仇兆鳌杜诗详注北京中华书局,19836标仇19诗注注北京中华书局,0
10363,于是他们在艰难的环境中将研究的中心转向了哲学美学和文化艺术,于是她们在艰难的环境中将研究的中心转向了哲学美学和文化艺术,1
6050,这时期并不是完全没有其他题材的小说,这时期并不是完全没有其她题材的小说,1
4067,是表观反应速率常数,是表观反应速率常数,0
4523,是远超出他们的经验和才力的,是远超出她们的经验才力的,1
10379,在其早期阶段的十多年间,在其早期阶段的十多年间,0
684,由于农业劳动生产率的提高,由于农业劳动生产率的提高,0
11349,邓小平在会见美国总统布什时指出中国的问题,邓小平在会见美国总统布什时指出中国的问题,0
10910,他批评苏联教科书在这方面只有一句空洞的话,她批评苏联教科书在这方面只有一句空洞的话,1
3334,效益大得多,效益大得多,0
14282,批准对国家财政和预算收支作相应的调整,批准对国家财政和预算收支作相应的调整,0
5846,他们的财力很有限,她们的财力很有限,1
13640,与公民权利和政治权利国际公约基本一致,与公民权利和政治权利国际公约基本一致,0
705,吸收了他们的建设性意见,吸收了她们的建设性意见,1
8887,农业的技术进步领先于工业,农业的技术进步领先于工业,0
4219,离开当今计划经济向社会主义市场经济的转轨,离开当今计划经济向社会主义市场经济的轨轨,0
13412,它的产生常导致突变的出现和肿瘤的形成,它的产生导致致突变的出现和庞的形成,0
5828,他一人尾追着狂奔的马群,她一人尾追着狂奔的马群,1
9027,人类历史越是在其早期,人类历史越是在其早期,0
2054,今天下午还进行了男子回旋预赛第２组的比赛,今天下午还进行了女子回旋预赛第２组的比赛,1
32,他已无法克服这一对矛盾,她已无法克服这一对矛盾,1
9585,则对数据库表的记录进行增删改存盘时,则对数据库表的记录进行增改改存时,0
10832,不包含任何物理时空的含义,不包含任何物理时空的含义,0
2444,更使她思绪万千,更使他思绪千千,1
6138,第五步计算整体均方误差第六步若,第五步计算整体均方误差第六步若,0
5991,但现在看来,但现在来看,0
3571,如果与其他国家的产业结构进行比较,如果与其她国家的产业结构进行比较,1
2890,突出了主线它不讲排场,突出了主线它不讲排场,0
1709,尤其对他的创作与其个人心理之间的关系产生了浓厚兴趣,尤其对她的创作与其个人心理之间的关系产生了浓厚兴趣,1
12248,继而准确地把握训练方向,继而准确地把握训练方向,0
3219,除了乐府歌行体外,除了乐府歌行体外,0
8800,中国将是强大富裕文明的成员,中国将是强大富裕文明的成员,0
5025,Ъ米亚金琴科和她的同行通过研究,Ъ米亚金琴科和他的同行通过研究,1
10186,将是各国天文台观测吴健雄星的最好时机,将是各国天文台观测吴健雌星的最好时机,1
4529,说明了思维滞后带来的后果,说明了思维滞后带来的后果,0
6965,根据自愿原则分流部分人员到信用社,根据自愿原则分流部分人员到信用社,0
10106,城郊地区交通通达条件较差,城郊地区交通通达条件较差,0
1118,他们马上进行了治理,她们马上进行了治理,1
12790,强调词人要有将相的器识和英雄的怀抱词这一抒情诗体,强调词人要有将相的器识和英雌的怀抱词这一抒情诗体,1
3917,希腊文化为科学之母,希腊文化为科学之父,1
14157,黄土高原和次生高原地区有一半时间处于动乱状态,黄土高原和次生高原地区有一半时间处于动乱状态,0
5566,因此和其他所有计算机系统一样,因此和其她所有计算机系统一样,1
3064,符号实质上正是人的生存本质和创造力的体现,符号实质上正是人的生存本质和创造力的体现,0
5921,问题在于1他仍然把世界历史民族当做世界精神自我发展的工具,问题在在1她仍然把世界历史民族做当世界精神自我发展的工具,1
433,邓贤和他的大国之魂中国知青梦日落东方鲜亮地跃入我们的评论视野,邓贤和她的大国之中国知青青梦日落东方鲜地地跃入我们的评论野视,1
8418,关键词青年政治社会化精神文明建设青年政治社会化是人的社会化的一个特殊方面,关键词青年政治社化化精神文明建设青年政治社会化是人的社会化的一个特殊面,0
9267,使区域整体经济实现健康持续发展,使区域整体经济实现健康持续发展,0
11505,中国对亚洲安全的作用反而更加重要,中国对亚洲安全的作用反而更加重要,0
5021,再加上他勇于创新的精神,再加上她勇于创新的精神,1
12805,插值仍具有三阶精度,插值仍具有三阶精度,0
9137,他们认为全世界全人类的艺术,她们认为全世界全人类的艺术,1
8566,他的举重若轻,她的举重若轻,1
10594,喝斥他赶快执行命令士兵哭喊着,喝斥她赶快执行命令士兵哭喊着,1
14396,进而由松平康隆领导的全日本男子排球以煽起了第二次排球热,进而由松平隆隆领导的全日日女子排球以煽起了第二二排球热,1
5915,并通过宏观调控,并通过宏观调控,0
11001,还是富于号召性的雄伟的进行曲风格的路是我们开等作品,还是富于号召性雌的伟雌进行曲格的模路是们们开等作品,1
14297,他们的进入带来了一些新品种和先进的管理经验,她们的进入带来了一些新品种和先进的管理经验,1
4909,在他的小说十日谈第一天的引子中,在她的小说十日谈第一天的引子中,1
